company,introduction,end_market,industry,link,link_corrected
Birth Care,Birth care maternity services,Healthcare services,Healthcare,,https://www.birthcare.co.nz/
Bizcaps Software,Business process management software,"Healthcare, food services",IT - Software,http://www.bizcaps.com/,https://www.bizcaps.com/
Inner Eastern Group Training,RTO,"Business, retail, hospitality",Education,www.iegt.com.au,https://www.bizhubmaroondah.com.au/business/profile/1351473928/Inner-Eastern-Group-Training/Ringwood
Blindware,Window covering wholesale business,Building products,Wholesale trade,https://www.blindware.com.au/,https://www.blindware.com.au/
Blisscare,Provides health care services for aged patients,Aged care Health,Healthcare,http://www.blisscare.com.au/services,https://www.blisscare.com.au/services
BlockTexx,Technology platform and marketplace for the world?s recycled textiles,Consumers,IT - Software,https://www.blocktexx.com/,https://www.blocktexx.com/
Blooms The Chemist,Pharmacy franchise,Pharmacy,Retail trade,https://www.bloomsthechemist.com.au,https://www.bloomsthechemist.com.au/
Blue Apache,Software solutions to technology and communications industries,IT,"Services - professional, scientific, and technical",https://www.blueapache.com/,https://www.blueapache.com/
Bluegum Pharmaceuticals / Phytologic,Complementary medicines and health products,Pharma,Manufacturing,,https://www.bluegum.net.au/
Project Bluejay,Specialist cloud-based solution reseller,IT,"Services - professional, scientific, and technical",,https://www.blujaysolutions.com/
BOC Instruments,"Boc Ophthalmic Instruments Pty Limited is primarily engaged in the wholesale distribution of professional equipment and goods used, prescribed, or sold by ophthalmologists, optometrists, and opticians.",Hospital and surgical,Healthcare,https://www.bocinstruments.com.au/profile.html,https://www.bocinstruments.com.au/profile.html
Body Science International,Functional and medical foods,Pharma,Manufacturing,,https://www.bodyscience.com.au/
Boomaroo Nurseries,Seedlings / nursery,Nurseries,Agriculture,,https://www.boomaroo.com/vegetable-seedlings/seed-companies/
Branded Financial,Commercial and auto finance platform,Finance,Finance and insurance,http://brandedfinancial.com.au/,https://www.brandedfinancial.com.au/
Brave Energy Systems,Energy market software,Energy,IT - Software,www.braveenergy.com.au,https://www.braveenergy.com.au/
BraveGen,"Software in environmental compliance, sustainability management and health & safety systems",Compliance and Safety management,IT - Software,https://www.bravegen.com/our-solutions/health-and-safety/,https://www.bravegen.com/our-solutions/health-and-safety/
Ravo Energy Management,An online energy and plant management system solution,Energy efficiency,IT - Software,https://www.ravoenergy.com/,https://www.bravoenergy.com/
Breathe21 Healthcare,Home and portable oxygen concentrators distributions and rental services industries,Respiratory,Healthcare,http://www.breathe21healthcare.com.au/about-us/,https://www.breathe21healthcare.com.au/about-us/
Rack and Lock,Bike security system,Security,IT - Software,,https://www.brenclosures.co.nz/
Briggate Medical Company,Medical supplies and equipment distribution,Medical devices,Healthcare,https://www.briggatemedical.com,https://www.briggatemedical.com/
Aussie Bush Camp,Outdoor learning and activities camp,Primary and secondary education,Education,http://www.bushcamp.com.au/,https://www.bushcamp.com.au/
Honcho,Software to automate business setup,B2B SaaS,IT - Software,,https://www.businessready.honcho.com.au/
Bware,Health and safety compliance software for all organisations,Health and Safety management,IT - Software,https://www.bware.co.nz/,https://www.bware.co.nz/
Coachair & Byron Aviation,"Offers complete design, engineering & manufacturing solutions for aviation and military industries",Defence,Manufacturing,http://www.byronaviation.com/,https://www.byronaviation.com/
Byron Food Science,solutions for food processing Commercial nonphysical research,Commercial businesses,"Services - professional, scientific, and technical",https://byronfood.com/about-us/how-we-work/,https://www.byronfood.com/about-us/how-we-work/
Byron Private Treatment Centre,Rehabilitation facility,Rehabilitation,Healthcare,www.byronprivaterehab.com.au,https://www.byronprivaterehab.com.au/
Cairns Aquarium,Aquarium,Tourism,"Arts, entertainment and recreation",,https://www.cairnsaquarium.com.au/
Cambridge International College,"TEQSA + RTO (Bachelors of Business, business, hospitality, languages vocational courses)","Bachelors of Business, business, hospitality, languages vocational courses",Education,http://cambridgecollege.com.au/,https://www.cambridgecollege.edu/
Camp Australia,After school care,Primary education,Education,https://www.campaustralia.com.au/,https://www.campaustralia.com.au/
Campion Education,Education (K-12) supplies,Education,Education,https://www.campion.com.au/,https://www.campion.com.au/
BPYT,Fashion,Retail,Manufacturing,,https://www.canzba.org/
Capri Sanctuary,Addiction and mental health treatment services,Addiction and mental health treatment,Healthcare,https://www.caprisanctuary.co.nz/about/,https://www.caprisanctuary.co.nz/about/
W9 / Caredent,Medical products distribution,Medical supplies,Healthcare,www.w9.com.au www.caredent.com.au,https://www.caredent.com.au/
The Career Academy,Provider of online courses and personal tutor support,Online education,Education,http://www.careeracademy.co.nz/about/,https://www.careeracademy.co.nz/about-us/
CareLynx,Aged care facility management software,Aged care,Healthcare,https://www.carelynx.com/,https://www.carelynx.com/
CareMonkey,Online emergency health and safety solution,Education,IT - Software,https://www.caremonkey.com/,https://www.caremonkey.com/
Care Systems,Aged care management software,Aged care,Healthcare,https://www.caresystems.com.au/,https://www.caresystems.com.au/
Carlile Altona Swim School,LTS operation,LTS,Education,,https://www.carlile.com.au/about-us/our-history/
CartonCloud,Cloud based transport and logistics software,Logistics businesses,IT - Software,https://www.cartoncloud.com.au/,https://www.cartoncloud.com/
CashPoint,Club focussed ATM and payments services business looking for expansion capital for acquisitions,tbc,Finance and insurance,tbc,https://www.cashpoint.com.au/about-us/our-team/
Cash Rewards,Cash reward programs,eRetail,IT - Software,,https://www.cashrewards.com.au/
CBD College,RTO,"Work health and safety, hospitality, first aid, IT",Education,www.cbdcollege.edu.au,https://www.cbdcollege.edu.au/
C.C.Components,Conveyor components supplier and manufactuer,Mining,"Mining, oil and gas",http://www.cccomponents.com.au/,https://www.cccomponents.com.au/
CD Power,"Generators, hydraulic power units and pumps",Oil & gas,Wholesale trade,www.cdpower.com.au,https://www.cdpower.com.au/
Celemetrix Australia,Specialist test and measurement and consulting services,Corporate,IT - Software,http://www.celemetrix.com.au/,https://www.celemetrix.com.au/
Centaur Software,Dental practitioner software,Dental,IT - Software,http://www.centaursoftware.com.au/contact/,https://www.centaursoftware.com.au/
Centrepoint Finance,Provides leasing and financing solutions to businesses,"Earthmoving, Transport & Logistics, Agriculture and Property",Finance and insurance,http://www.centrepointfinance.com.au/about-us/,https://www.centrepointfinance.com.au/about-us/
Cerberus Sciences,"laboratory animal monitoring and research Commercial physical research, nsk",Research organizations,"Services - professional, scientific, and technical",http://www.cerberus.net.au/,https://www.cerberus.net.au/
Ceres Tag,Livestock smart ear tags,Agriculture,IT - Hardware,http://www.cerestag.com/,https://www.cerestag.com/
Coventry gaskets business,"Sources parts and puts together automotive gasket kits. Also does customised light pressing of specialised parts for enthusiasts (e.g. vintage V8 car owners, etc.)",Auto,Manufacturing,http://www.cgl.com.au/cgl-corporate/divisions/gaskets,https://www.cgl.com.au/
Charlton Brown,Community care vocational education & training and placement services,RTO,Education,https://www.charltonbrown.com.au/,https://www.charltonbrown.com.au/
Federation Education REIT,Childcare REIT,Childcare,Real estate,,https://www.charterhall.com.au/investments/funds/cqe
Cheap As Chips,Discount retail chain,Retailer,Retail trade,,https://www.cheapaschips.com/
Chemika,"chemical testing Commercial physical research, nsk",Commercial chemical businesses,"Services - professional, scientific, and technical",http://www.chemika.com.au/,https://www.chemika.com.au/
Chem-Supply,Manufacturer and supplier of laboratory products and industrial chemicals,Distribution,Manufacturing,https://www.chemsupply.com.au/#,https://www.chemsupply.com.au/
Chemwatch,"Chemical safety, occupational hygiene and regulatory compliance software and services to different industries",Risk management,IT - Software,https://www.chemwatch.net/,https://www.chemwatch.net/
Chesterfield Australia,Specialist equipment distributor,Agriculture,Finance and insurance,https://www.chesterfieldaustralia.com.au/,https://www.chesterfieldaustralia.com.au/
Childcare Resources Australia,The aim of CRA is to share our resources without being in direct competition to you as an RTO,Education,Education,https://www.childcareresourcesaustralia.com.au/,https://www.childcareresourcesaustralia.com.au/
Chrisco,Hamper business,Hampers: B2C retail,Retail trade,www.chrisco.com.au,https://www.chrisco.com.au/
Challenge Implements,manufacture of tractor loaders and attachments,Agriculture,Manufacturing,http://www.cih.com.au,https://www.cih.com.au/
CEC Systems,Shipping container manufacturing and leasing,Shipping,Manufacturing,,https://www.cisco.com/c/en_au/about/contacts.html
Civiltest,Geotechnical testing services to civil engineering industry,Testing,"Services - professional, scientific, and technical",http://www.civiltest.com.au/,https://www.civiltest.com.au/
CK Surgitech,Supplier of surgical and other medical instruments,Distribution,Healthcare,http://www.cksurgitech.com/,https://www.cksurgitech.com/
Class Cover,Online platform for schools to book casual relief teachers,Primary and Secondary Education,Education,www.classcover.com.au,https://www.classcover.com.au/
Class Creator,Class creator software,Education,IT - Software,https://www.classcreator.io/,https://www.classcreator.io/
Classe365,Unified school management software to education industry,Higher Education,IT - Software,https://www.classe365.com/about-classe365/,https://www.classe365.com/about-classe365/
ClassMarker,Online exam software,Education,IT - Software,https://www.classmarker.com,https://www.classmarker.com/
Clearpond,Water filtration and pond products,Water management,"Services - professional, scientific, and technical",https://www.clearpond.com.au/,https://www.clearpond.com.au/
Clifton Operations,"Conference, event and training venues",Corporate and government,Education,https://www.cliftons.com/,https://www.cliftons.com/
Clinical Universe,Medical point of care device data software,Healthcare,IT - Software,http://clinicaluniverse.com/,https://www.clinicaluniverse.com/
Clintel,Medical software solutions,Healthcare,IT - Software,http://www.clintel.com.au/about-us/,https://www.clintel.com.au/about-us/
Close the Loop,Global clean print and print consumables company,Print recycling,Services - other,,https://www.closetheloop.com.au/
Cloud Plus Pty Ltd,Cloud and infrastructure as a service provider,IaaS,IT - Software,,https://www.cloudplus.com/
Clutch Industries,Clutch manufacturer,Automotive,Manufacturing,http://clutchindustries.com.au/,https://www.clutchindustries.com.au/
CMS Hospitality,Hospitality software,Accomodation,IT - Software,http://www.cmshospitality.com/,https://www.cmshospitality.com/
Futura Group,Platform to create online educational content,Education,IT - Software,http://eCoach.com,https://www.coach.com/
CodeCamp,Coding education camps,Coding,Education,https://codecamp.com.au/,https://www.codecamp.com.au/
CodeSafe,Software solution for risk management and compliance in the construction industry,Corporate risk,IT - Software,https://www.codesafe.com.au/about-us/,https://www.codesafe.com.au/about-codesafe/
Cogniss,App building software,Apps,IT - Software,www.cogniss.com,https://www.cogniss.com/
Coherent Scientific Pty Ltd,Scientific instruments,Hospitals / labs,"Services - professional, scientific, and technical",http://www.coherent.com.au/,https://www.coherent.com.au/
Coldflow,Residential and commerical HVAC services,HVAC,"Services - professional, scientific, and technical",https://www.coldflow.net.au/about-us/,https://www.coldflow.net.au/about-us/
Colleagues Information Solutions,data management software,OH&S,IT - Software,www.colleagues-info.com,https://www.colleagues-info.com/
Comlinx,IT services and call centre services provider,Managed IT services,"Services - professional, scientific, and technical",,https://www.comlinx.com.au/
Compass,SAAS student management tool,Education software,IT - Software,http://compass.edu.au/,https://www.compass.education/
Compliance Quarter,Regulatory compliance management solution,Regulatory compliance,IT - Software,https://www.compliancequarter.com.au/about-us/,https://www.compliancequarter.com.au/about-us/
CompliSpace,Compliance software,Compliance,IT - Software,https://www.complispace.com.au/,https://www.complispace.com.au/
CompNow,"Customised procurement, deployment & support services","Education, Government, Business",Services - other,www.compnow.com.au,https://www.compnow.com.au/
Comscentre,IT services business,Telco,Services - administrative and support,tbc,https://www.comscentre.com/
Investigation Management Australia,Investigation management solutions to local government and states,Investigation,"Services - professional, scientific, and technical",https://www.comtrac.com.au/how-it-works/why-comtrac/,https://www.comtrac.com.au/how-it-works/why-comtrac/
Concourse Golf,Golfing equipment manufacturer,Golf,"Arts, entertainment and recreation",www.concoursegolf.com,https://www.concoursegolf.com/
Condor Energy Services,Oil & gas services,Oil & gas,Services - other,http://condorenergy.com.au/,https://www.condorenergy.com.au/
Conhur,Provides asset maintenance services to extend the life of water and wastewater infrastructure,Water management,"Services - professional, scientific, and technical",http://conhur.com/about-us/,https://www.conhur.com/
ContentKeeper Technologies,Web security solutions,"Education, healthcare, financial services, government",IT - Software,www.contentkeeper.com,https://www.contentkeeper.com/
Content Security,Cyber security and consulting services provider,Cyber risk,"Services - professional, scientific, and technical",https://www.contentsecurity.com.au/who-we-are,https://www.contentsecurity.com.au/who-we-are
Converge,EAP services,Corporate,Healthcare,,https://www.convergeinternational.com.au/
Cookers Bulk Oil System,Supplier of complete oil management systems,Waste management,Services - other,http://www.cookers.com.au/about,https://www.cookers.com.au/about
Cordbank,"Cord blood collection, processing and storage facility",Stem cell technology,"Services - professional, scientific, and technical",http://www.cordbank.co.nz/about-us/,https://www.cordbank.co.nz/about-us/
Core Group,specialty metallurgical and environmental testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.coreresources.com.au/contact-us/,https://www.coreresources.com.au/contact-us/
CoreSec / eLearnNow,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://www.coresec.com.au/,https://www.coresec.com.au/
CoreServe Pty Ltd,Cleaning and equipment managed services,Hospitality,Services - accommodation and food,http://www.coreserve.com.au/,https://www.coreserve.com.au/
Cornerstone Health,Medical centre rollup,GP clinics,Healthcare,,https://www.cornerstonehealth.com.au/
Corporate Governance Risk,Risk management and consultation provider,Corporate risk,"Services - professional, scientific, and technical",https://corpgovrisk.com/service/,https://www.corpgovrisk.com/
CorProfit Systems,enterprise risk management software solutions,SME,IT - Software,http://www.corprofit.com/,https://www.corprofit.com/
CQR Consulting,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://www.cqr.com/our-company/,https://www.cqr.com/our-company/
CrackerSystems,Sports management platform for large member communities,Sports,IT - Software,https://www.crackersports.com/,https://www.crackersports.com/
The Credit One Group,"Equipment, business, property finance",Various,Finance and insurance,http://www.creditone.com.au,https://www.creditone.com.au/
MicroGenetix,"specialty medical, food and pharmaceutical testing services industry",Testing services,"Services - professional, scientific, and technical",http://www.microgenetix.com.au,https://www.criver.com/microgenetix-offers-accugenix-services
GrainCo from Crowe Horwath,Grain processing and packing,Grain handling,Agriculture,,https://www.crowe.com/nz
iComplii,Technical talent management,Commercial construction,IT - Software,www.icomplii.com.au,https://www.crunchbase.com/organization/icomplii
CR-X,Big data transformation software,Big data,IT - Software,http://www.cr-x.com/what-is-cr-x/,https://www.cr-x.com/
CST Wastewater Solutions,Provides water and wastewater treatment equipment and services,Water management,"Services - professional, scientific, and technical",https://www.cstwastewater.com/,https://www.cstwastewater.com/
Capital Training Institute,Vocational education & training,RTO,Education,http://www.ctiaustralia.edu.au/content/about-us,https://www.ctiaustralia.edu.au/content/about-us
Culpan Medical,Timely supply of medical devices that offer patients the best prognosis.,Hospital and surgical suppliers,Healthcare,www.culpanmed.com.au,https://www.culpanmed.com.au/
Project Cumulus,Infrastructure telco services,Telecos,Utilities,,https://www.cumulus.com.au/
Smith Bros Group,Facilities management company,Facilities Management,Services - other,,https://www.cushmanwakefield.com/en/australia/news/2019/03/smith-brothers-acquisition
Custom Fluidpower,Hydraulic solutions provider,Defence,Manufacturing,http://www.custom.com.au/,https://www.custom.com.au/
Customer Radar,Customer feedback software,SME,IT - Software,www.customerradar.com,https://www.customerradar.com/
CXI Software,Funds management registry and compliance software to fund managers and fund administrators,Regulatory compliance,IT - Software,https://www.cxisoftware.com.au/about,https://www.cxisoftware.com.au/about
Zimbani,Information and Cyber Security services provider,Information and Cyber Security,"Services - professional, scientific, and technical",https://zimbani.com/about-zimbani/,https://www.cybersecurityintelligence.com/zimbani-4156.html
DairyTech Nutrition,Manufacturer of minerals and yeast products to dairy industry,Agriculture,Manufacturing,http://www.dairytechnutrition.com.au/about-us/,https://www.dairytechnutrition.com.au/about-us/
Damstra Technology,Workforce management software platform,Workforce,IT - Software,www.damstratechnology.com,https://www.damstratechnology.com/
David Gray & Co Pty Ltd,diversified wholesaler of agricultural and home garden products,Agriculture,Wholesale trade,http://davidgray.com.au,https://www.davidgray.com.au/
Davies Way,specialist product and service provider to the dairy sector,Agriculture,Agriculture,https://www.daviesway.com.au,https://www.daviesway.com.au/
Davies Wear Plate,Mining wear plate manfacturing,Mining,Manufacturing,http://www.davieswps.com/about-davies/,https://www.davieswps.com/
DC Power Co,Energy management services,Energy,Utilities,https://www.dcpowerco.com.au/about/,https://www.dcpowerco.com.au/about/
Donald Cant Watts Corke,Quantity surveying services,tbc,"Services - professional, scientific, and technical",tbc,https://www.dcwc.com.au/
Defcon,"Supplier, contractor and prime vendor of specialized products, systems and services",Defence,Wholesale trade,https://www.defcon.com.au/,https://www.defcon.com.au/
Delta Water Solutions,Water treatment products distribution and services,Water management,"Services - professional, scientific, and technical",https://www.deltawater.com.au/about,https://www.deltawater.com.au/about
Demi International,Beauty RTO,RTO,Education,https://www.demiinternational.com.au/,https://www.demiinternational.edu.au/
Optima,"Dental clinic fitout, distributor of equipment and consumables",Medical equipment,Healthcare,http://dentec.com.au/about/,https://www.dentec.com.au/about/
Detector Inspector,Installation and maintenance services to residential and commercial solutions,Safety and compliance,"Services - professional, scientific, and technical",http://www.detectorinspector.com.au/about,https://www.detectorinspector.com.au/about-us/
Diagnostic Technology,Life science research and diagnostic products distribution,Life Science,Wholesale trade,https://www.diagnostictechnology.com.au/pages/about-us,https://www.diagnostictechnology.com.au/pages/about-us
Project Chantico,Mexican QSR,QSR,Retail trade,,https://www.dialogfitzroy.com/
Didasko Limited,"Developer and supplier of world-class eLearning resources for the Vocational Education and Training industry. Specialising in the Hospitality and Retail sectors, and more recently partnering with Business and Aged Care collaborators, our comprehensive res",Higher-ed,Education,http://didasko.com.au/,https://www.didasko.com/
Digistorm,School website and enrolment system solutions,K-12,Education,https://www.digistorm.com.au/,https://www.digistorm.com.au/
Dimple,Podiatry for aged care residents,Allied health services,Healthcare,www.dimplecare.com,https://www.dimplecare.com/
Dingo Mining,Specialist technology and services provider,Mining,"Mining, oil and gas",http://www.dingo.com/,https://www.dingo.com/
Dipolar,Market reasearch software,SME and Corporate,IT - Software,http://www.dipolar.com.au/,https://www.dipolar.com.au/
Ignition Wealth,Financial technology solutions,Financial services,Finance and insurance,https://www.ignitionadvice.com/about/,https://www.discoverignition.com/
Distillery Software,Investigation and intelligence management solutions,Investigation,"Services - professional, scientific, and technical",https://www.distillerysoftware.com/about/,https://www.distillerysoftware.com/about/
Diversity Arrays Technology,Provider of genome profiling technology to crops and animals,Genomics,IT - Software,https://www.diversityarrays.com/about-us/,https://www.diversityarrays.com/about-us/
Drummond & Etheridge,agricultural equipment and machinery dealer (incl financing),Agriculture,Agriculture,https://www.dne.co.nz,https://www.dne.co.nz/
DocsCorp,Legal services document management software,tbc,IT - Hardware,tbc,https://www.docscorp.com/
Dogtainers Pet Transport & Dolittles Pet Retreats,Provider of domestic and international pet transport,Pets,Transport,https://www.dogtainers.com.au/about-us/,https://www.dogtainers.com.au/about-us/
Rail Network Construction and Maintenance Co,Rail construction and maintenance contractor,Civil contracting,Construction,,https://www.downergroup.com/
Drill Doctors Australia,Blast hole drills service and spare parts business,Service,"Mining, oil and gas",http://www.drilldoctors.com.au/,https://www.drilldoctors.com.au/
Drive Yello,B2B focused last-mile delivery technology platform and courier marketplace,Transport,IT - Software,https://www.driveyello.com/,https://www.driveyello.com/
Droppoint,Field service inventory management solution provider,Field service,IT - Software,www.droppoint.com.au,https://www.droppoint.com.au/
Educational Speech Pathology and Therapy Services,Speech Pathologists and Occupational Therapists providing classroom based therapy services and Teacher training in schools across NSW,Developmental healthcare,Healthcare,https://www.educationalspeechpathology.com.au/about-us/,https://www.dss.gov.au/our-responsibilities/disability-and-carers/program-services/for-people-with-disability/better-start-for-children-with-disability-initiative/educational-speech-pathology-therapy-services-pty-ltd-trading-as-talk-listen-learn-together
Domett,"Design, manufacture, sales and marketing of an extensive range of quality truck trailers",Trailer manufacturing,Manufacturing,http://www.domett-trailers.co.nz/,https://www.dttl.co.nz/
Ducere Global Business School,Online business degrees,RTO,Education,www.ducere.edu.au,https://www.ducere.edu.au/
Dunstans Construction Group,Construction group,Civil,Construction,http://www.dunstans.com.au/,https://www.dunstans.com.au/
Dustex,Specialist service provider,Mining,"Mining, oil and gas",https://www.dustex.com.au/,https://www.dustex.com.au/
Dynamics G-Ex,Geologists consumables distributor,Mining,"Mining, oil and gas",https://www.dynamicsgex.com.au/,https://www.dynamicsgex.com.au/
East Sydney Private Hospital,Private day hospital,Private hospitals,Healthcare,https://www.eastsydneyprivatehospital.com/,https://www.eastsydneyprivatehospital.com/
Education Centre of Australia,"Language, business, IT, higher ed courses",RTO and higher ed,Education,http://www.eca.edu.au/,https://www.eca.edu.au/
Ecosafe,Wastewaster treatment services for septic tanks and plants,Water management,"Services - professional, scientific, and technical",https://www.ecosafe.com.au/ecosafe-contact/,https://www.ecosafe.com.au/ecosafe-contact/
Edquire,Student productivity tracking,Education,IT - Software,http://edquire.com/edquire/,https://www.edquire.com/
The Education Institute,"RTO (Aged care, early childhood, leisure and health, food processing, manufacturing, transport and technician)","Aged care, early childhood, leisure and health, food processing, manufacturing, transport and technician",Education,www.educationinstitute.edu.au,https://www.educationinstitute.edu.au/
Edu-Kingdom College,School student tutoring,Tutoring,Education,http://www.edukingdom.com.au/,https://www.edukingdom.com.au/
Edval,"Timetabling software, solutions and support",Education,IT - Software,http://www.edval.com.au,https://www.edval.education/
EdWorks,School student tutoring,Tutoring,Education,http://www.edworksglobal.com/,https://www.edworksglobal.com/
EFM Logistics,4PL provider,Logistics,Transport,,https://www.efmlogistics.com.au/
EIFY,Software developers for management functions,Project compliance,IT - Software,http://www.eify.com/about/team/,https://www.eify.com/about/team/index.html
Elcom Technology,enterprise web content management software solutions,SME,IT - Software,http://www.elcomcms.com/en-au/,https://www.elcom.com.au/
Electrical Testing Services,Electrical testing and fire safety compliance services,Compliance and testing,"Services - professional, scientific, and technical",http://www.electricaltesting.com.au/about-electrical-testing/,https://www.electricaltesting.com.au/about-electrical-testing/
EMAPTA,Offshoring services,BPO,Services - administrative and support,www.emapta.com,https://www.emapta.com/
EMC Technologies,Compliance and certifications testing to the electronic space,Certification and compliance,"Services - professional, scientific, and technical",https://www.emctech.com.au/company-profile/,https://www.emctech.com.au/company-profile/
Emergency Teachers Australia,Online casual relief teaching and support staff services to secondary abnd primary schools,Relief teaching,Education,https://www.emergencyteachers.com.au/AboutUs.aspx,https://www.emergencyteachers.com.au/AboutUs.aspx
Emmetts,Specialist equipment distributor,Agriculture,Finance and insurance,http://www.emmetts.com.au/,https://www.emmetts.com.au/
EM Solutions,"Satellite comms and components, and broadband radiowave technology",Telco,"Services - professional, scientific, and technical",http://www.emsolutions.com.au/,https://www.emsolutions.com.au/
Endotherapeutics,"Endotherapeutics specialises in the sales, marketing, regulatory approval and distribution of leading specialised medical devices for various healthcare segments.",Hospital and surgical,Healthcare,http://www.endotherapeutics.com.au/corporateprofile,https://www.endotherapeutics.com.au/about-us/
Enduraclad International,Wear plate supplier,Mining,"Mining, oil and gas",http://www.enduraclad.com.au/,https://www.enduraclad.com.au/
Enesys,Greenhouse energy management systems,Greenhouses,Agriculture,http://www.enesys.com.au/,https://www.enesys.com.au/
Engineering Plastics,Polyurethane products manufacturer,Rubber,Manufacturing,https://www.engplastics.com.au/about-us/,https://www.engplastics.com.au/about-us/
Project Enigma,Fashion accessories,Fast fashion,Retail trade,,https://www.enigmainteriors.com.au/about-us
EnrolNow,Childcare centre enrolment software,Education,IT - Software,https://www.enrolnow.com.au/,https://www.enrolnow.com.au/
Envirolab,Lab testing services,Certification and testing services,"Services - professional, scientific, and technical",www.envirolab.com.au,https://www.envirolab.com.au/
Environmental Site Services,"Environmental focused inspection and assessment services, equipment hire and training",Monitoring and testing,"Services - professional, scientific, and technical",http://www.environmentalsiteservices.com.au/,https://www.environmentalsiteservices.com.au/
Regional EnviroScience,"Identify, evaluate, handle and manage the removal of hazardous substances and environmental contaminants",Environmental management,"Services - professional, scientific, and technical",https://www.enviroscience.com.au/about/,https://www.enviroscience.com.au/
Enware Australia,Manufacturer and distributor of commercial and industrial plumbing and safety products,Distribution,Manufacturing,https://www.enware.com.au/about-us/,https://www.enware.com.au/about-us/
NuLegal,Electronic legal document discovery and electronic trials,Legal,"Services - professional, scientific, and technical",https://www.nulegal.com.au/,https://www.epiqglobal.com/en-au
Epitope Technologies,Importer of kits and reagent supplies,Distribution,Wholesale trade,http://www.epitopetechnologies.com/home,https://www.epitopetechnologies.com/
Elastomer Products Limited,polymer and rubber extrusion company,Industrial,Manufacturing,http://eplgroup.com,https://www.eplgroup.com/
Polymer Group Inc,Chemical manufacturing,Chemicals,Manufacturing,,https://www.eplgroup.com/
Pentalpha,Funds management platform (currently $3mn of FUM),Funds management,Finance and insurance,,https://www.eqt.com.au/~/media/equitytrustees/files/instofunds/pentalpha-investment-management/pentalpha-income-for-life--ordinary-fund-pds-nz.pdf
eSecure,Information security and risk management services provider,Cyber and corporate risk,"Services - professional, scientific, and technical",https://www.esecure.com.au/about?ref=CREST,https://www.esecure.com.au/about
Savant Energy Power Networks,Developer and manager of Embedded Networks in multi-tenant facilities,Energy services,Utilities,http://sepn.com.au/,https://www.espn.com.au/
Essential Safety Solutions,Building compliance and fire safety services to buildings,Compliance and safety,"Services - professional, scientific, and technical",http://www.essentialsafetysolutionsaust.com.au/about/,https://www.essentialsafetysolutionsaust.com.au/about/
Essential Safety Solutions,Building compliance and fire safety services to buildings,Compliance and safety,"Services - professional, scientific, and technical",http://www.essentialsafetysolutionsaust.com.au/about/,https://www.essentialsafetysolutionsaust.com.au/about/
Euclideon,Holographic technology,Holographics,IT - Hardware,www.euclideon.com,https://www.euclideon.com/
Evado,Clinical software solutions in life science space,Life Science,IT - Software,https://www.evado.com/about-us/,https://www.evado.com/about-us/
Evado eClinical,Provider of clinical trial research software,Laboratory,IT - Software,https://www.evado.com/about-us/,https://www.evado.com/about-us/
eWorks,"Online education solutions to VET, government and corporate industries",Online education,"Services - professional, scientific, and technical",http://eworks.edu.au/about,https://www.eworks.edu.au/about/
Exabytes,SME hosting provider,Web hosting,IT - Software,www.exabytes.com,https://www.exabytes.com/
ExcelPlas,"Polymer, geomembrane and plastic pipe testing provider",Inspection and testing,"Services - professional, scientific, and technical",http://www.excelplas.com/,https://www.excelplas.com/
Exodrill,"Drill pipe inspection, tubular inspection and rig inspection services",Oil & gas,"Services - professional, scientific, and technical",http://www.exodrill.com/,https://www.exodrill.com/
Explorer Motorhomes,Manufacturer of specialty motorhomes,Leisure,Manufacturing,,https://www.explorermotorhomes.co.nz/
Extend,Before and after school care,Primary education,Education,http://extend.com.au/,https://www.extend.com.au/
ExtraStaff and Working In,Recruitment of workers from offshore (predominantly Philippines) to NZ for construction etc,migrant workers,"Services - professional, scientific, and technical",,https://www.extrastaff.co.nz/
Ezy2c,Vehicle telematics services,Telematics,IT - Hardware,,https://www.ezy2c.com.au/
Fairport Farm Software,Agricultural and horticultural software,Agriculture,IT - Software,http://www.fairport.com.au/en/about-en/about-fairport-en,https://www.fairport.com.au/en/about-en/about-fairport-en
FairWay Resolution,Conflict management and dispute resolution services industries,Conflict management,"Services - professional, scientific, and technical",https://www.fairwayresolution.com/about-fairway,https://www.fairwayresolution.com/about-fairway
Farmscan Ag,"Designer, producer and supplier of precision agriculture products and services",Agriculture,Agriculture,https://www.farmscanag.com,https://www.farmscanag.com/
Fast Track,Compliance management software for medium to large organisations,Corporate risk,IT - Software,http://www.fasttrack365.com/about,https://www.fasttrackaust.com/about
Fence Wright,Fencing contractor,"Mining, civil, government, utilities, oil & gas",Services - other,www.fencewright.com.au,https://www.fencewright.com.au/
Ferguson Plarre Bakehouses,Baked products manufacturer and franchisor,FMCG and QSR,Manufacturing,,https://www.fergusonplarre.com.au/
Ferngrove Pharmaceuticals,Complementary medicines and health products,Pharma,Manufacturing,,https://www.ferngrovepharma.com.au/
Ferra Engineering,"Designer, manufacturer and assembler of fully integrated aerospace structures and sub-systems",Defence,Manufacturing,http://www.ferra.com.au/,https://www.ferra.com.au/
Field Air,Aerial agricultural products and maintenance services,Pest control,"Services - professional, scientific, and technical",https://www.fieldair.com.au/background.php,https://www.fieldair.com.au/background.php
